eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,isWalking,roll,pitch,yaw,accX,accY,accZ,fitError,powerLeft
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
1,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,1,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.109985,1,-1,-15,0,2
0,2,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.62,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.119995,1,-1,-15,0,2
0,2,0,0,0,0,0,4.61,-13.31,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.32,-323.119995,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.130005,1,-1,-15,0,2
0,0,0,0,0,0,0,4.61,-13.31,-323.130005,1,-1,-15,0,2
